,thread_name,init_post
60,Let’s Talk About the Night Elf Problem: When Trauma is Used as a Narrative Crutch,"Author’s Note: I apologize in advance for the length of this post, but I tend to get a bit wordy when I’m feeling contemplative. If you just want to skip ahead to the discussion about the burning of Teldrassil, scroll down to the bolded text that reads “And here’s the part where you might be interested.” The rest is mainly context related to Night Elf lore as a whole.Thank you!————So, it’s a beautiful day outside. Sun is shining, birds are singing, and my pupper sits by my side as I lounge about on my porch. So, I figure it’s a perfect time to talk about some WoW. I mean, when  it a good time to talk about some WoW?So let’s talk about one of my favorite races, and one of the most controversial pieces of BFA’s overall narrative; the Night Elves.Now, as an avid WC3 player I’ve always been in love with this race. The cross between the wood elf and amazonian aesthetics with a dash of celtic druidic folklore made the night elves one of the most enigmatic yet enthralling races to play as.Since then, the Night Elf aesthetic has been more than a little neutered. They no longer use their home field advantage to its fullest potential, sit back feebly and watch as the Horde carves its insignia into the region of Azshara, and when they do get attention, namely in Cataclysm, it is typically centered around their new druid lore, which has been so defanged that the focus has shifted away from levying the savage powers of the wilds against the enemies of nature and more towards preserving the Emerald Dream, which is by far one of the weakest aspects of WoW’s overall lore. For inexplicable reasons, these same druids, originally only the night elves, saw fit to teach their crafts to Horde races, and they did so under the guidance of Malfurion himself.It’s no wonder why the Night Elves have historically been unfavorably compared to the Blood Elves. There is something innately romantic, and heroic, about a race that pulls itself up from its own bootstraps to reclaim a kingdom that was stolen from them by the literal army of the dead. They are impacted by a magical addiction that defines their very biology, and the means of satiating this addiction is scorned by many around them, yet they forge their own path in the world regardless. Eager to take up arms to defend their home and often first into the fray when danger strikes, even when that danger comes from its own former leaders, Blood Elven heroism is not something that has ever been in short supply.So what was the solution to shake the Night Elves from the dreariness of their past lore and bring them up to snuff with the Blood Elves?Well, Legion was a good start at least in that it focused on expanding the more interesting aspects of Night Elven culture. The wardens are innately interesting in that they’re a militaristic police force that should clash with the theocratic nature of night elf society, and in many ways they do, but in many ways they are necessitated by it. Similarly, the demon hunters are outcasts who do what they believe the rest of their people are incapable of doing to achieve victory, and yes, while we still got the dreaded aesthetically-pleasing yet druid-obsessed Val’sharah, it was at least tempered by the Warden and Demon Hunter prominence elsewhere in Legion’s narrative. And then we arrive at Suramar, a perfectly-preserved snapshot of what the Night Elves used to be when they were at the height of aristocratic prominence. Regardless of one’s feelings with the ultimate political allegiance of the Nightborne, they, along with the demon hunters and wardens, were part of spectacular world building that expanded on the best aspects of what makes a night elf a night elf.Legion made night elf lore interesting again. So how would Battle for Azeroth continue the trend?Initially, I welcomed the Night Elf story beats in BFA with open arms. I can’t say I cared much for the implications of Darnassus in lore, but  burning it to the ground at least necessitated that Night Elves play some part in the faction war storyline of BFA. Given the Night Elves’ lackluster participation record prior to Legion, any kind of night elf exposure was good exposure. This culminated in the Darkshore warfront, where the night elves take center stage and we get to see how an almost-exclusively night elf army (with some Gilnean support) would look like in WoW. Archers, huntresses, glaive throwers, dryads, chimaeras; basically everything I loved about them in WC3 was recreated before my eyes, and it was glorious. At one point, I was ready to argue that Legion and BFA did more for Night Elf lore than any other expansion in WoW history. Perhaps in some ways this is true, but now we’re at the point where the writers say “mission accomplished, Night Elves got their revenge,” and the players say “nuh-uh!”And of course, this was the natural outcome of the modern Night Elf story. BFA could not continue the path that Legion began, so in order to keep the Night Elves in the limelight they resorted to one of the most tired of narrative tropes; the nuclear “trauma” button.Narrative trauma is perhaps one of the biggest crutches whenever a writer needs to kickstart the plot or make a character suddenly become interesting. For instance, when an inexperienced writer wants to feature an action-adventure heroine but forgets to give her a personality, it isn’t uncommon for said writer to throw her into the plot by means of a traumatic incident; typically by having her suffer at the hands of malicious men. Now, tropes are not inherently to be avoided, but when mishandled what you get is a paper-thin 1-dimensional character.Ironically, it’s a mistake WoW has already made with two prominent women; Maiev Shadowsong and Jaina Proudmoore. Maiev up to and including Burning Crusade is only ever fixated on capturing “the one who got away” Illidan Stormrage, and the rage she feels for him dictates her entire character. Even she acknowledges that, once she finally kills him, “I feel nothing, I am nothing.” Where does she go from there? Well, Wolfheart decides to make her displace her rage onto the rest of the Night Elf people and turn her into a domestic terrorist hell-bent on genocide, and damn anyone and everyone who gets in her way!The other example is Jaina Proudmoore, who after the bombing of Theramore feels nothing but hatred for the Horde and can only ever talk about dismantling it. Despite Christie Golden’s efforts in the supplementary novels to make Jaina more nuanced in her emotions, the in-game representation of her only ever came across as a one-dimensional warmonger. This fortunately changed when Golden was brought onto WoW’s writing team and Jaina was rehabilitated so that she turned her trauma into an opportunity to find healing and grow from the experience.Seriously. Want an example of when trauma is used well outside of WoW? Go watch John Wick. John is gifted a dog by his wife who dies of an unspecified illness, only for said dog to be killed by the son of a local crime lord. John goes on a path of vengeance to kill the son and avenge the dog, as expected, but in doing so he enters a world of assassins he walked away from years ago, a world he never wanted to return to. The antagonist is not the son, but rather the father, who knows John’s reputation well as an analogue of the boogeyman, and while he has to do everything in his power to protect his son, he also never wanted to incur the wrath of John Wick and has a perverse sort of sympathy for him being dragged away from his life of relative peace. The world John navigates is interesting on its own, but so too are his reactions and interactions with said world’s moving bits.The biggest crime committed by the Teldrassil incident isn’t that it was poorly thought out, it’s that it’s also derivative. In a plotline already heavily influenced by Garrosh Hellscream’s turn as warchief, the Burning of Teldrassil has more than a few similarities to the Scourging of Quel’thalas. Of course, the difference is that the Scourging of Quel’thalas was amazing writing. The Blood Elves regrouped and redefined their entire society because of it, and their worldview shifted appropriately. They did not become one-dimensional seekers of vengeance, but their every action is done with an eye glancing backwards at their history.But with the Night Elves the question on everyone’s mind is “when will they get their vengeance?” And of course that’s the only question, because the Burning of Teldrassil hasn’t been written to facilitate any other question. It’s not a call for Night Elven social reform, it isn’t a dark chapter in a Night Elven story with a clearly defined goal, it’s just something bad that happened that must be avenged. And now certain Night Elven players are so venomous that they express dissatisfaction that Sylvanas kill-stole Lordaeron, or that the Humans led the charge, or that the night elves didn’t outright kill Nathanos, or that the Night Elves didn’t just raze Orgrimmar in response.It won’t. It will just be an expected outcome for an inciting event meant to cause drama more than actual character development. And Tyrande gaining a new power level does not equate to character development, let’s just deal with that here and now. Changing a character’s level from 120 to skull face does not suddenly make them interesting.The question Night Elf players should be asking isn’t “when will we avenge Teldrassil?” It’s “how will what happened to Teldrassil make us better?” And it’s no wonder there isn’t any Night Elf content planned for patch 8.2, because Teldrassil wasn’t ever intended to have long-reaching narrative consequences. It’s just short-term drama designed to achieve short-term relevance, and that relevance began to die for me once I completed my hundredth run of the Darkshore warfront.And  is the problem with using trauma as a narrative crutch. It serves the moment, but never the story."
61,Forums are too negative lately,My friend and I were talking and he brought up a good point.I think these forums need more positivity we’re all having fun playing this game why is everyone always complaining about it? If it was so bad why are we all still playing it.Try to remember Blizzard made this game we love and show them some love too
62,"Losing paid time, time gating and class prune",I think this is the last straw from Thralls farm for this orc.Time to check out a new game until next expansion.CheersPs buy your own stuff
63,Orgrim vs Lothar! 3D Render!,"Orgrim Doomhammer vs Anduin Lothar. Years 2 after the opening of the Dark Portal.Colorized.So, i made a new Render! this time based on a legendary lore combat-So, the issue here is that Doomhammer doesnt have his armor, so i made a custom one, with some tweaks, try to resamble the Orgrim for the Warcraft movie.Blizzard never did a full HD armor Doomhammer for WoD "
64,End Faction wars,Stop👏the👏hate👏let👏love👏createe    
65,"Something has spooked one of de brutosaurs, sending it into a panic",Dis chaos is de last thing de city needs.  Help de merchents by rescuing de cargo before you get stomped on!
66,Light Forged: So boring,"Darlings, I really want to like the light forged but they are boring!!  Limited customization I can deal with  &lt; sips a little   &gt; but the female jokes and /flirt are just not that funny. For the amount of grind I wonder if they were worth it.Are my darlings at blizzard going to add anything to them later on?"
67,The biggest Tauren problem is not even Baine,"It’s the fact that Baine is only important tauren. From that you can only see that race of long time nomads have NO ambitions at all. No one opposes Baine, no one wants to bring glory to taurens, every cow is just extra pacified.  Like a domesticated cow.Taurens wouldn’t survived if they were like this in wc3 time."
68,Dear Blizzard: Create an LFG for Mythic 0,"Create a Mythic 0 LFG to make it easier to get into baseline mythics, just to at least get quests done and to experience content.Also, if a M0 LFG group works well, allow them to option to remain as a regular group outside of LFG to do more, higher-keyed Mythics if they so choose.Thank you for coming to my TED talk."
69,Suggestion: Allow us to upgrade our Flight Master's whistle to use in the old world,"Basically title.Allow us to use our whistle and upgrade it to be used in the old world.It is a very useful item, and would be great to use when farming or when our Hearth is on CD.Also, maybe introduce an heirloom whistle that we can use while leveling new characters.This could cut down on travel time and make leveling an even more smooth experience.Here are my ideas:Honestly this is a small change that I feel could have a large impact.Blizzard please &lt;3edited to add in ideas for unlock/implementation"
70,Account off,Pathfinder is a total joke.
71,Bobby kotick doesn't want to make fun games?0,So an article came out today that Bobby kotick came out and straight up said they don’t want to make fun games anymore. I want to include the link but the forums won’t let me which is total crap. I think I’m just about done with activision if this is remotely true.Edit: this is weird my title looks in all caps but I didn’t type it in that way.
72,Demon Hunter Love Thread :smiling_imp:,Now if only the Illidari were weren’t so nitpicky about their height requirements I’d love them even more. Nothing like a bit of fel magic in morning to make your hair look absolutely fabulous!
73,No Motivation for HoA Skills,"It hit me earlier today when I was wondering what the upgraded animation of some of the abilities you get with the Heart of Azeroth would look like at max level.Come 9.0, those abilities are more or less just… gone. We’re not keeping them. (Speculation, mind you, but the track record lends support)I now have no motivation at all to even level them to upgrade them to be more effective. Maybe there will be a little achievement for getting one to it’s highest rank but… I just can’t be bothered to put in the effort to improve something that’ll be gone in a year or so.Anyone else feeling like this?"
74,Elf Only Thread. Come say hi!,"Blue or Red, any elf is welcomed here. Feel free to discuss our current plans for world domination or just how unfair it is how amazing we look in transmog compared to the…lesser races."
75,I hope we lose at the end of this expansion,"Think about it guys…it would be a really good twist for the story.You’re in the raid, smashing Azshara’s face in with a giant piece of steel, and suddenly, right on the cusp of victory.You fail.It was all a trick, a trap, empowering you was nothing but entertainment. To watch you flail in defiance, only to be broken.Next patch kicks in, and Azeroth is on the verge of death.  The black empire has newly arisen, and the land is suffering corruption everywhere.  All that you once loved and held dear is either dead, or enslaved and you are part of a small segment left trying to survive.  Not win…survive.The pantheon is gone, the world is seeing its doom on the horizon.SUDDENLY,  MALFURION COMES OUT OF NOWHERE (screw you Tyrande).He slaps Azshara so hard she turns into a squid, then he fries Nzoth to make some delicious fried octopus.The world is saved, the night elves stab Sylvanas in the face, then Nathanos, I want to see him suffer, and then accidentally burn down another one of their trees.  You know…because night elves can’t go more than half a patch without something happening to their damn trees."
76,Personal loot doesn’t really feel like “personal” loot,"Yes, another thread about this ridiculous system. This isn’t about bringing ML back but about improving PL.I thought PL was suppose to give you more control over what gear you keep and give away but every time I want to give away an item that’s a small 5 ilvl upgrade for me but huge for someone else, the game tells me I can’t do that. The game dictates what I can and can’t give away. Why? If this restriction was removed, people can still keep whatever they want but they can at least give away anything they don’t regardless of ilvl.My guild always trades around gear that would benefit the raid the most. If I have a ring that’s 370 with BiS stats and I get a 390 with worst stats that ends up being a tiny upgrade for me but someone else’s BiS id rather give it to that person.This goes for pugs too. I’ve been in many where I’ve tried to trade gear that’s an ilvl upgrade and small % upgrade for me but a huge upgrade for someone else yet I’m not allowed. The game tells me I can’t.Personal loot honestly feels more restrictive than ML. I don’t care if ML comes back or not but why is a system that’s called personal loot so restrictive? It feels horrible getting a super small upgrade that I can’t give away when it’s huge for someone else. It doesn’t feel like this gear is -mine- at all."
77,Players vs Developers,"The statement “it’s Blizzard game they can do what they want” is so obtuse it’s become a meme. Of course it’s their game!BUT when they decide to keep implementing  content that players are so adamantly AGAINST, anyway, it’s come to the point that said players quit!Not JUST your random kids but also top name streamers and YouTube channels as well.It’s come to the point I ask myself if the players know what’s better for the game more than the developers.The developers “HEAR us but the just don’t LISTEN”.And I really think that’s the main issue these days. This next major patch is really going to (make or break) this expansion for alot of players. I hope Blizzard follows through."
78,Its time to take the restrictions off of fun transmogs Blizz!,"For years now Blizzard has added fun cosmetic items into the game, yet they’re always overly restricted so we don’t have too much fun. Here is an example of a fun cosmetic items that has really dumb restrictions tied to it This item has a restriction which only makes it transmoggable during Hallow’s End, and yet…Has the exact same model and IS transmoggable all year around.I just don’t get it, we have many fun items that ARENT tied to dumb restrictions, like the Stinkrot Smasher and the Nobleman’s/Noblewoman’s sets from DMF. So why do TONS of amazing and fun items have restrictions tied to them or are simply not transmoggable at all?Below is a list of many fun items that I as well as many others would LOVE to use in their transmogs but cant due to restrictions.Lord Walden’s Top HatAll Noblegarden CircletsNoblegarden Egg BasketSpring RobesBlack Tuxedo PantsWhite Tuxedo ShirtAll Hallow’s End witch hatsForever Lovely RoseVile Fumigator’s MaskBouquet of Red RosesAll Daggers with a broken bottle appearanceAll Lunar Festival dressesAll Lunar Festival suitsAll Lunar Festival flower crownsBronze Tinted SunglassesRhinestone GlassesAll Winter Veil outfitsWhole Fire Festival setFrying panHigh society Top HatAll monocles except for one (Chief Architect’s Monocle)I’m sure I have missed many more fun items that have the exact same restrictions as the ones listed above, but I cant remember them all lol.Back on the old forums I made a topic called “Please let us mog the amber shades all year around” or something like that, and it got tons of attention and love, so clearly transmogging matters to the players. I would post a link to that old forum topic but I don’t think the old forums even exist anymore Edit: This is the thread  Thanks to Nillah for finding it!Anyway, I don’t know why I made this thread… I probably spent too much time into it even though It will probably get buried under all the other threads. But I just wanted to say that I am tired of fun things getting restricted because “No fun allowed” Let us have fun Blizzard! games are meant to be fun! "
79,6 Months Was Long Enough,"BFA released 7 months ago. I’ve experienced the content in all BfA zones, participated in Island Expeditions, LFR’s, dungeons, WPvP, Faction Assaults, etc… and I feel flight is long overdue. I’d rather stay immersed while flying my character, than using a whistle or “taxi”. If I could fly, I’d play more often by adding in profession gathering. I’m just burned out on gathering on this toon because I’ve been doing it for 7 months on other toons, by ground.I’m tired of running on my “flying” mounts. This wait is ridiculous."
80,Request: More Death Animations Please,"Can you please just add death animations that are unique to whatever killed you?  I mean when I kill you with a frostbolt I want you to freeze.  Or an ice lance, i want to see your frozen body shatter.  Every major ability or effect on my bar should have a unique animation.  I think we can all agree that when I land my fatal Hammer of Justice or Starfall for the KB that you’re going out in style.  Divert some of your resources away from making new mounts and give me some Kill Animation Glyphs or something kthx/signed"
81,What Would be the Most Jump-the-Shark Way to End BFA?,"Here is my submission.After the defeat of Azshara the Horde and the Alliance work feverishly to fortify Thunder Bluff in patch 8.2.5. As they are working they see a figure in the distance. Tall, lithe, four-legged, antlers three times the size of its head.With an insidious laugh he announces your doom. For he is Davidius Doehoof, Deliverer of the Deerforged. Yes, it turns out that when Tyrande empowered the night elves she accidentally got an innocent deer caught up in the ritual.“Oops,” says Tyrande. But she doesn’t really care and just goes back to attempting to punch Nathanos in the face. And failing.His eyes were opened that day to the glory of Elune. He has tried repeatedly to share his pamphlets to the denizens of Thunder Bluff but they have always turned him away.No longer.Now Davidius Doehoof, Deliverer of the Deerforged will  Thunder Bluff to know the glory of his religion. So the Horde and the Alliance team up to take him down in the plains of Mulgore.The battle lasts all of two minutes. It turns out Davidius Doehoof, Deliverer of the Deerforged wasn’t given many actual powers beyond being able to sparkle. But no matter. Davidius Doehoof, Deliverer of the Deerforged, has already completed his insidious ritual with his dying breath.The Horde and the Alliance turn towards the sky and see that the moon now bears the grinning malicious face of Elune. And every second that passes she gets closer. Closer. Closer…Yeah. Like Majora’s Mask.Magni Bronzebeard rips off his beard and screams into his dwarven ale.“Now look what ye done, ye stupids! Ye been fighting each other so long that now the moon wants to kill ye. The blasted moon! How in the hell are we supposed to fight the moon?!?”But wait! You hear and smell the burning of jet fuel. A rocketship lands before you! The doors slowly crank open and a walkway stretches outwards. You hear a growl as a large, scaly creature stomps out.It is Subject Nine! She has come to finally repay the debt she has owed to you ever since you freed her people.“Looks like it’s time…” She says as she puts on some sunglasses, ""for the velocirapture…*And then Subject Nine takes all the Horde and Alliance’s champions in her spaceship and flies them into the moon. 8.3 takes place as a journey to the center of the moon in an effort to just blow the sucker up. They succeed and everyone starts hating Tyrande for invoking ancient powers from an unknown entity that almost destroyed the entire world.Meanwhile, in Orgrimmar, Sylvanas wipes her brow in relief that everyone hates Tyrande now and have completely forgotten about Sylvanas. After all, Sylvanas didn’t really have any plans to win this war; she was just biding time until something big and random happened to divert everyone’s attention.Sylvanas and Saurfang make friendship bracelets as a sign of their forgiveness and Tyrande is exiled from society.And that’s how BFA ends."
82,"Bon Appetit, subs","So you know how you goto a real fancy (expensive restaurant) that supposedly has the best food ever.All the chief does is make the same greasy food you get at the local pub but makes it smaller.  The thought is if you eat it all it was that good!You decide at dinner that your $50 chicken tender, is better than the chicken tenders you get at Hardee’s for much cheaper.Meet your chef, Blizzard/Activision!  And their specialty, time-gated content!"
83,Gul'dan Was From The Flowerpicker Clan,"According to Gul’dan’s “Harbingers” video, no one living has ever heard of the village of his birth.Gul’dan’s flashbacks also show the village was located on a desert, likely Gorgrond.Meanwhile, the Flowerpicker Clan is an Orcish Clan that was only named in the WC2 files and never mentioned in-game or in any lore books.Since they are never mentioned, the Flowerpicker clan is a clan that no one in-universe has ever heard of.Now, considering the fact that Gorgrond is home to Draenor’s most dangerous and  flowers and flower people, that’s the most likely location of an Orcish Clan named after picking flowers.So it makes sense that Gul’dan’s clan is actually the Flowerpicker Clan."
84,Kul'tiran unlock chain is absolutely terrible,"It basically consists of a ton of pointless fetch quests, and flying back and forth over and over again all across Kul’tiras to talk to pointless people.  This looks like it took about 0 dev time, weee."
85,Wrathion is hot,"His face is gorgeous. Frankly he’s just perfectly my type - he’s got chiseled cheekbones and a smoldering glare that would melt me into a puddle. Just the right amount of well trimmed facial hair, and a messed mane that gives him this confidant and rugged look. That man oozes confidence and surety, and then there’s his body. Of course we can’t see much, but it leaves much to the imagination. Though, we do know he’s got quite the posterior.I’m thinking arms like steel cords, a chest that would have inspired Michelangelo, with rippling abs and prominent hip muscles. Sculpted thighs that could trap your head between them (judging from his combat animations, he wouldn’t have any trouble with that,) and I doubt he’s lacking in any department.He’s like, perfect Goshdarnit. Blizzard needs to either stop making beautiful men or make more of them because I  get enough of them."
86,Rogues didn’t have to be nerfed,They weren’t broken. Other Specs were just outdated and have to be buffed / modify to be able to excel in m+Blizzard doesn’t even play their own game and they have no idea what they are doing.
87,Alliance Hall of Shame,Horde 100 guilds defeated JainaAlliance 15 guilds  
88,Don't buy the new Siltwing Albatross mount. It vanishes,"Just bought the mount with the coins I’ve been saving the past several weeks. 1000 doubloons straight down the toilet. Using the mount consumes it but doesn’t mark as “learned” in the vendor’s UI or appear in the mount journal.Thanks for testing your crap, Blizz.I’d be careful with the new seahorse mount too. I don’t have any coins left to verify if its bugged or not but I wouldn’t take my chances."
89,Blizzcon this year will be ..... interesting,I can’t even imagine what Blizzcon will be like this year with the way the communities are feeling right now.If 8.2 (which I have to imagine will be out by then) bombs then the WoW panels will be … something
90,Old-World Scaling to 120 A discussion!,"I know this a long shot, but am I the only one that thinks going back to do Razorfen Kraul or Diremaul for some 120 loot about equal to the current dungeon content would be epic?I want to hear opinions on how a change like this could be beneficial and negative to the game if we’re moving toward the future lets go full circle, right now leveling is dead! Give us some truly new epic things to do in the old world! Let us go back adventuring with friends to make some obsecure build. Even if it’s just some sort of trial! Some unique server type! I think that something like that could be amazing!Obviously old-loot would have to be balanced so it’s 120 scaling wasn’t broken! But, still this game can be so much more than just this centralized roller-coaster of expansion to expansion! This world we play in is so much larger than being max level and re-running the same WQ and Mythic+ over and over! I think it’s high time we started thinking outside the box!"
91,This got to Stop!,I will not want to join up with alliance. I did not do it in MOP and i will not do it here. I left legion when it became so obvious that we going to be following alliance around like little puppy dogs. That I bailed as soon  as the written on the wall hit me. Sorry not following alliance. I am Horde. Not alliance.It is bad enough you killed off Vol’jin in WOD and Legion. It was really no surprise that he was knife in back. He really did nothing in wod. He is going be rusty after all that time.Then you gave us a war chief that might be interesting. In legion. At first she look interesting. Then poof she gone. Guess what you did it again in BFA. What wrong with you guys. How can she be the bad guy if she not around at all. We only see her for just a few hours that it. What the heck is wrong with that? “Plentiful”Now you you want me to team up with Genn and Jaina. Both who attacked the horde. Like all is forgiven. No way. I did raid to see end. I will not do quest with Genn. He is enemy number 1 in my book. He killed fellow orcs. Then hunted down survivors. Nope he get it from me one day.Stop with this force stuff already. I will not save Baine. I will not help Thrall or Suarfang. They all are treasonous  bunch with no sense of honor. True orcs challenge her and not sneak about. That is not the Honorable orc heritage way. Put this twisted story back on tracks. Stop with the lovey dovey stuff. The story bad enough with only two plot lines. What now there is only be the big bad plot line. That want get boring at all.  
92,Still not enough Alliance in Warmode,Please up the reward to 100%.I tried War mode today due to the increased bonus. I have been trying to do this quest for last 30 mins to kill a single mob for champions of Azzeroth. There is non stop stream of 10 Horde and NO alliance.Im gonna turn WM off again. 30% More azerite is not worth 30 mins wait to kill a single mob.
93,Hottest Warcraft Female Character ever,Title said it all. What’s your favorite Hottest Warcraft Female Character Ever.Mine would be:1: Jaina Proudmoore.2: Valeera Sanguinar.3: Alleria Windrunner.4: Shandris Feathermoon.5: Alexstrasza6: Thalryssa.7: Sally Whitemane.8: Vaneesa Vancleef.9: Vereesa Windrunner.10: Taelia.What are your favorites down in the comment section.
94,100% pure paladin beef,Let’s see if I can do that as well as a human paladin.Behold my beefy chest! Look upon greatness and bow before your superior.
95,Do you miss buying gear from vendors?,I miss vendors. I miss how hard it was to get gear and how it rewarding it felt to finally collect enough currency to buy that one piece of gear you wanted.Do you guys like the loot lottery system that’s in the game right now or would you rather have vendors back?I miss rings having main stats on them.I also miss pvp gear having resilience and giving an edge in pvp. I’m sure a lot of you will say versatility is the same thing and maybe you’re right idk. But pvp doesn’t feel the  best to me right now.It feels to me that the carrot on a stick that was gear is no longer there due to how easy it is to obtain pve gear and how hard it is to obtain the pvp gear you want. I feel like the only grinds in the game right now is AP which feels really bad because you can only do one specific thing to efficently farm it and extremely small rep gains from doing the world quests and the vendor rewards are the only carrot on a stick now.I haven’t bothered hitting exalted for any faction and rep grinds are the worst thing in the game to me and has been bundled with world quests which I cannot seem to force myself to do and seem to loathe. I think I prefer doing group content in a MMO and world quests is a strictly solo thing. I think this is the same reason I hate gearing my alts right now.I can easily get geared out in no time but essences are a time gated grind and most things are locked behind rep walls where the rep you get from doing the quests and zones are limited each day.There’s no alternative path to getting that rep like say running the dungeon in mechagon and getting rep for the rustbolt resistance or do the EP to get ankoan/unshackled rep. It feels like the worst way to time gate progress/rewards.I wish there was pve group content you could do to get rep outside of the boring world quest system.
96,Why bother raiding?,"Last night, I finally had an evening free to do a little raiding. Got 4 bosses down in EP normal, not a huge feat but it was the first time I’d gotten to raid in years. I thoroughly enjoyed it.I even got myself a swanky new 415 weapon, thanks to judicious use of my re-roll tokens. I was pretty satisfied with myself, my guild, and my new weapon.Then this morning I got the Zandalar emissary that gave me a 415 weapon for 20 minutes of solo work. Not even 12 hours later my latest spoil was spoiled by an emissary quest.If the rewards from raiding are this pointless, why do it? Is this why my guild has a tough time mustering? Have that many people just given up on raiding?I had a great time raiding in MoP and Legion, but this makes me feel like a fool who went raiding and spent resources on reroll tokens when I could have been doing literally anything else.What’s the reasoning here? Is there any?"
97,RP community is awesome,"I don’t RP in game, but I have started following some RPer’s on twitter. And man, it is pretty fun to get involved with and follow what everyone is doing in Azeroth. You all are awesome! Just wanted to share with others if you’re looking for something different in game, Just create a twitter and link your wow account to share what you’re up to. That is all."
98,Give us Draenei Rogues for once and all,"I’m not asking for Draenei Druids, or Draenei Warlocks, or Draenei Demon Hunter. I’m asking for something that apparently don’t involve magic, and if there are some magic in the path of the Rogue i’m pretty sure that Draeneis can wield it.Also i’m not asking for something that is not part of the lore. The Rangari have rogues, and Mishka is a Draenei Rogue who is part of the SI:7.You can’t tell me also that Draeneis are too big for being rogues, orcs and trolls are rogues and are equally big or more.Also Draenei Rogues will give a new flavor to the rogue class from a lore perspective, because let be honest, rogues in more races are the scum of their society. But a Draenei never will be a scum bag.Let’s get in mind that when Cataclysm was launched with all the new class-race combos introduced, the Draenei was the ONLY race who get nothing. You are in debt with the Draenei.In legion Gnome Hunters were introduced, without making a masive inpunt of new class-race combos. They can do the same for Draenei Rogues, right?Thanks for reading, and please don’t make any clip-clop joke, or hoof noises jokes in your reply, there were fun long time ago, but now it’s geting old."
99,What’s your ilvl?,"…Said no-one in vanilla ever, cant wait! "
